"SCHEMA_PRC","SCHEMA_STG","TABLA","ID_TABLE","FIELD","RULE_EQUAL","RULE_REGEX","RULE_FIELD","RULE_NULL","RULE_MAX","RULE_MIN","RULE_NAME","DEFAULT_VALUE","REPLACE_VALUE","RANGE_MIN","RANGE_MAX","RULE_MANDATORY"
,,"P_PEOPLE","1","BIRTH_DATE",,,,,,,"BIRTH_DATE<1900",,,"birth_date=01/01/1900",,
,,"P_ADDRESS","2","VALID_FROM",,,,,,"valid_from=valid_to","VALID_FROM>VALID_TO",,,,,
,,"P_ADDRESS","2","VALID_TO",,,,,,,"VALID_TO<1900",,,"valid_to=01/01/1900",,
,,"P_ADDRESS","2","USAGE_DATE_FROM",,,,,,"usage_date_from=usage_date_to","USAGE_DATE_FROM >USAGE_DATE_TO",,,,,
,,"P_ADDRESS","2","USAGE_DATE_FROM",,,,,,,"USAGE_DATE_FROM < 1900",,,"usage_date_from=01/01/1900",,
,,"P_ADDRESS","2","USAGE_DATE_FROM",,,,,,,"USAGE_DATE_FROM > HOY",,,,"usage_date_from=today",
,,"P_ADDRESS","2","USAGE_DATE_FROM",,,,,,,"USAGE_DATE_TO < 1900",,,"usage_date_to=01/01/1900",,
,,"P_EXPERTS","12","BEGIN_DATE",,,,,,"begin_date=end_date","begin_date > end_date",,,,,
,,"P_EXPERTS","12","BEGIN_DATE",,,,,,,"BEGIN_DATE<1900",,,"begin_date=01/01/1900",,
,,"P_EXPERTS","12","BEGIN_DATE",,,,,,,"BEGIN_DATE> HOY",,,,"begin_date=today",
,,"P_EXPERTS","12","END_DATE",,,,,,,"END_DATE <1900",,,"end_date=01/01/1900",,
,,"P_OTHERS","14","CHANGE_DATE",,,,,,,"CHANGE_DATE<1900",,,"change_date=01/01/1900",,
,,"P_OTHERS","14","CHANGE_DATE",,,,,,,"CHANGE_DATE> HOY",,,,"change_date=today",
,,"P_PEOPLE_GROUPS","15","FROM_DATE",,,,,,,"FROM_DATE<1900",,,"from_date=01/01/1900",,
,,"P_PEOPLE_GROUPS","15","FROM_DATE",,,,,,"from_date=to_date","FROM_DATE> TO_DATE",,,,,
,,"P_PEOPLE_GROUPS","15","FROM_DATE",,,,,,,"FROM_DATE > HOY",,,,"from_date=today",
,,"P_PEOPLE_GROUPS","15","TO_DATE",,,,,,,"TO_DATE<1900",,,"to_date=01/01/1900",,
,,"P_BANK_ACCOUNT","24","VALID_FROM",,,,,,,"VALID_FROM> HOY",,,,"valid_from=today",
,,"P_BANK_ACCOUNT","24","VALID_FROM",,,,,,,"VALID_FROM<1900",,,"valid_from=01/01/1900",,
,,"P_BANK_ACCOUNT","24","VALID_FROM",,,,,,"valid_from=valid_to","VALID_FROM>VALID_TO",,,,,
,,"P_BANK_ACCOUNT","24","VALID_TO",,,,,,,"VALID_TO<1900",,,"valid_to=01/01/1900",,
,,"P_STAFF","34","USER_EMAIL",,"user_email=^[A-Za-z0-9\.\+_-]+@[A-Za-z0-9\._-]+\.[a-zA-Z]*$",,"user_email",,,"Mail invalido",,,,,
,,"P_PEOPLE","1","REGISTRATION_DATE ",,,,,,,"REGISTRATION_DATE<1900",,,"registration_date=01/01/1900",,
,,"P_PEOPLE","1","BIRTH_DATE",,,,,,,"BIRTH_DATE>hoy",,,,"birth_date=today",
,,"P_PEOPLE","1","REGISTRATION_DATE ",,,,,,,"REGISTRATION_DATE>HOY",,,,"registration_date=today",
,,"P_ADDRESS","2","VALID_FROM",,,,,,,"VALID_FROM<1900",,,"valid_from=01/01/1900",,
,,"P_ADDRESS","2","VALID_FROM",,,,,,,"VALID_FROM> HOY",,,,"valid_from=today",
,,"P_PEOPLE","1","NAME","man_comp=1","name=^[A-Z][A-Za-zÀ-ÿ\u00f1\u00d1\\s]+$",,,,,"Solo letras y 1era en mayusculas con man_comp = 1",,,,,
,,"P_CONTACTS","7","VALID_FROM",,,,,,,"VALID_FROM<1900",,,"valid_from=01/01/1900",,
,,"P_CONTACTS","7","VALID_FROM",,,,,,,"VALID_FROM> HOY",,,,"valid_from=today",
,,"P_CONTACTS","7","VALID_FROM",,,,,,"valid_from=valid_to","VALID_FROM>VALID_TO",,,,,
,,"P_CONTACTS","7","VALID_TO",,,,,,,"VALID_TO<1900",,,"valid_to=01/01/1900",,
,,"P_CONTACTS","7","DETAILS","contact_type=email","details=^[A-Za-z0-9\.\+_-]+@[A-Za-z0-9\._-]+\.[a-zA-Z]*$",,,,,"Mail invalido",,,,,
,,"P_PEOPLE","1","NAME","man_comp=2","name=^[A-Z][A-Za-z-0-9\\s]+$",,,,,"Solo letras y nros y 1era en mayusculas con man_comp = 2",,,,,
,,"P_CONTACT_PERSONS","8","VALID_FROM",,,,,,"valid_from=valid_to","VALID_FROM>VALID_TO",,,,,
